Activity,619200
Advertisement,1031030
Auto,5290560
Building,861740
Children,410448
Compensation,3370000
Condolences,200000
Equipment,5634027
Events,6275666
Food,10102367
Management,30481810
Miscellaneous,842500
Mission,8135395
Printing,1627500
Rent,157440000
Repair,2301755
Stationary,513336
Utility,1685660
Activity,0.26%
Advertisement,0.44%
Auto,2.23%
Building,0.36%
Children,0.17%
Compensation,1.42%
Condolences,0.08%
Equipment,2.38%
Events,2.65%
Food,4.27%
Management,12.87%
Miscellaneous,0.36%
Mission,3.44%
Printing,0.69%
Rent,66.48%
Repair,0.97%
Stationary,0.22%
Utility,0.71%
