Date,General,Mission,Special,Total,3M_AVG
2015-01-01,5049000,530000,100000,5679000,8084892
2015-02-01,8043000,952000,100000,9095000,8415392
2015-03-01,9725500,868000,100000,10693500,8489166.667
2015-04-01,8578000,202000,100000,8880000,9556166.667
2015-05-01,8948300,644000,100000,9692300,9755266.667
2015-06-01,6872387,1630000,100000,8602387,9058229
2015-07-01,6470250,1184000,100000,7754250,8682979
2015-08-01,8117000,907500,100000,9124500,8493712.333
2015-09-01,8347000,551000,0,8898000,8592250
2015-10-01,6802900,300000,0,7102900,8375133.333
2015-11-01,7901000,1005000,0,8906000,8302300
2015-12-01,8024863,1820000,0,9844863,8617921
2016-01-01,7593000,400000,0,7993000,8914621
2016-02-01,8073000,306000,0,8379000,8738954.333
2016-03-01,9147000,1051000,812000,11010000,9127333.333
2016-04-01,6913000,410000,0,7323000,8904000
2016-05-01,7588000,382000,220000,8190000,8841000
